juris_name,county_name,HS_idx,HT_idx,HM_idx,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx,MAX_DUA_idx,MAX_FAR_idx,MAX_HEIGHT_idx,proportion_adj_dua,proportion_adj_far,proportion_adj_height
alameda,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
albany,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
berkeley,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
dublin,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
emeryville,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
fremont,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
hayward,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
livermore,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
newark,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
oakland,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
piedmont,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pleasanton,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_leandro,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_alameda,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
union_city,Alameda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
antioch,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
brentwood,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
clayton,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
concord,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
danville,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
el_cerrito,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
hercules,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
lafayette,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
martinez,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
moraga,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
oakley,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
orinda,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pinole,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pittsburg,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pleasant_hill,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
richmond,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_pablo,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_ramon,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_contra_costa,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
walnut_creek,Contra Costa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
belvedere,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
corte_madera,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
fairfax,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
larkspur,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
mill_valley,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
novato,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ross,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_anselmo,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_rafael,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sausalito,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
tiburon,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_marin,Marin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
american_canyon,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
calistoga,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
napa,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
st_helena,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_napa,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
yountville,Napa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_francisco,San Francisco,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
atherton,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
belmont,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
brisbane,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
burlingame,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
colma,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
daly_city,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
east_palo_alto,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
foster_city,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
half_moon_bay,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
hillsborough,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
menlo_park,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
millbrae,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
pacifica,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
portola_valley,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
redwood_city,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_bruno,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_carlos,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_mateo,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
south_san_francisco,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_san_mateo,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
woodside,San Mateo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
campbell,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
cupertino,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
gilroy,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
los_altos,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
los_altos_hills,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
los_gatos,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
milpitas,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
monte_sereno,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
morgan_hill,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
mountain_view,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
palo_alto,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
san_jose,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
santa_clara,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
saratoga,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sunnyvale,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_santa_clara,Santa Clara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
benicia,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
dixon,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
fairfield,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
rio_vista,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
suisun_city,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_solano,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
vacaville,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
vallejo,Solano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
cloverdale,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
cotati,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
healdsburg,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
petaluma,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
rohnert_park,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
santa_rosa,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sebastopol,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sonoma,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
unincorporated_sonoma,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
windsor,Sonoma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
